title,link,description,date,author
Pakistani Hackers Targeting Indian Students in Latest Malware Campaign,https://thehackernews.com/2022/07/pakistani-hackers-targeting-indian.html,"The advanced persistent threat (APT) group known as Transparent Tribe  has been attributed to a new ongoing phishing campaign targeting students at various educational institutions in India at least since December 2021.  ""This new campaign also suggests that the APT is actively expanding its network of victims to include civilian users,"" Cisco Talos  said  in a report shared with The Hacker News.  Also tracked under the monikers APT36, Operation C-Major, PROJECTM, Mythic Leopard, the Transparent Tribe actor is  suspected  to be of Pakistani origin and is known to strike government entities and think tanks in India and Afghanistan with custom malware such as CrimsonRAT, ObliqueRAT, and CapraRAT.   But the targeting of educational institutions and students, first  observed  by India-based K7 Labs in May 2022, indicates a deviation from the adversary's typical focus.  ""The latest targeting of the educational sector may align with the strategic goals of espionage of the","July 14, 2022",Ravie Lakshmanan
New 'Retbleed' Speculative Execution Attack Affects AMD and Intel CPUs,https://thehackernews.com/2022/07/new-retbleed-speculative-execution.html,"Security researchers have uncovered yet another vulnerability affecting numerous older AMD and Intel microprocessors that could bypass current defenses and result in Spectre-based speculative-execution attacks.  Dubbed  Retbleed  by ETH Zurich researchers Johannes Wikner and Kaveh Razavi, the issue is tracked as CVE-2022-29900 (AMD) and CVE-2022-29901 (Intel), with the chipmakers  releasing   software   mitigations  as part of a coordinated disclosure process.  Retbleed is also the latest addition to a class of  Spectre attacks  known as Spectre-BTI (CVE-2017-5715 or Spectre-V2), which exploit the side effects of an optimization technique called  speculative execution  by means of a timing side channel to trick a program into accessing arbitrary locations in its memory space and leak private information.   Speculative execution attempts to fill the instruction pipeline of a program by predicting which instruction will be executed next in order to gain a performance boost, while also u","July 13, 2022",Ravie Lakshmanan
New UEFI Firmware Vulnerabilities Impact Several Lenovo Notebook Models,https://thehackernews.com/2022/07/new-uefi-firmware-vulnerabilities.html,"Consumer electronics maker Lenovo on Tuesday  rolled out fixes  to contain three security flaws in its UEFI firmware affecting over 70 product models.  ""The vulnerabilities can be exploited to achieve arbitrary code execution in the early phases of the platform boot, possibly allowing the attackers to hijack the OS execution flow and disable some important security features,"" Slovak cybersecurity firm ESET  said  in a series of tweets.   Tracked as CVE-2022-1890, CVE-2022-1891, and CVE-2022-1892, all three bugs relate to  buffer overflow vulnerabilities  that have been described by Lenovo as leading to privilege escalation on affected systems. Martin Smolár from ESET has been credited with reporting the flaws.   The bugs stem from an insufficient validation of an NVRAM variable called ""DataSize"" in three different drivers ReadyBootDxe, SystemLoadDefaultDxe, and SystemBootManagerDxe, resulting in a buffer overflow that could be weaponized to achieve code execution.","July 13, 2022",Ravie Lakshmanan
"Microsoft Warns of Large-Scale AiTM Phishing Attacks Against Over 10,000 Organizations",https://thehackernews.com/2022/07/microsoft-warns-of-large-scale-aitm.html,"Microsoft on Tuesday disclosed that a large-scale phishing campaign targeted over 10,000 organizations since September 2021 by hijacking Office 365's authentication process even on accounts secured with multi-factor authentication (MFA).  ""The attackers then used the stolen credentials and session cookies to access affected users' mailboxes and perform follow-on business email compromise (BEC) campaigns against other targets,"" the company's cybersecurity teams  reported .  The intrusions entailed setting up adversary-in-the-middle (AitM) phishing sites, wherein the attacker deploys a proxy server between a potential victim and the targeted website so that recipients of a phishing email are redirected to lookalike landing pages designed to capture credentials and MFA information.  ""The phishing page has two different Transport Layer Security (TLS) sessions — one with the target and another with the actual website the target wants to access,"" the company","July 13, 2022",Ravie Lakshmanan
5 Questions You Need to Ask About Your Firewall Security,https://thehackernews.com/2022/07/5-questions-you-need-to-ask-about-your.html,"Often, organizations think of firewall security as a one-and-done type of solution. They install firewalls, then assume that they are ""good to go"" without investigating whether or not these solutions are actually protecting their systems in the best way possible. ""Set it and forget it!""  Instead of just relying on firewalls and assuming that they will always protect their businesses from cyber risk, executives need to start asking deeper questions about them. As with most areas of business, it's important to take a critical look at each solution that your organization relies on for security. So, let's break down a few questions that you and your team should be asking about firewall security to get a more accurate view into your network defense posture.  1 — What does your team's firewall knowledge look like?   In order to properly service and upkeep firewalls, your team needs to have at least a baseline knowledge of how firewalls operate. It's espe","July 13, 2022",The Hacker News
Researchers Uncover New Variants of the ChromeLoader Browser Hijacking Malware,https://thehackernews.com/2022/07/researchers-uncover-new-variants-of.html,"Cybersecurity researchers have uncovered new variants of the  ChromeLoader  information-stealing malware, highlighting its evolving feature set in a short span of time.  Primarily used for hijacking victims' browser searches and presenting advertisements, ChromeLoader came to light in January 2022 and has been distributed in the form of ISO or DMG file downloads advertised via QR codes on Twitter and free gaming sites.  ChromeLoader has also been codenamed Choziosi Loader and ChromeBack by the broader cybersecurity community. What makes the adware notable is that it's fashioned as a browser extension as opposed to a Windows executable (.exe) or Dynamic Link Library (.dll).   The infections typically work by enticing unsuspecting users into downloading movie torrents or cracked video games through malvertising campaigns on pay-per-install sites and social media.  Besides requesting invasive permissions to access browser data and manipulate web requests, it's also designed t","July 13, 2022",Ravie Lakshmanan
Researchers Uncover New Attempts by Qakbot Malware to Evade Detection,https://thehackernews.com/2022/07/researchers-uncover-new-attempts-by.html,"The operators behind the Qakbot malware are transforming their delivery vectors in an attempt to sidestep detection.  ""Most recently, threat actors have transformed their techniques to evade detection by using ZIP file extensions, enticing file names with common formats, and Excel (XLM) 4.0 to trick victims into downloading malicious attachments that install Qakbot,"" Zscaler Threatlabz researchers Tarun Dewan and Aditya Sharma  said .   Other methods adopted by the group include code obfuscation, introducing new layers in the attack chain from initial compromise to execution, and using multiple URLs as well as unknown file extensions (e.g., .OCX, .ooccxx, .dat, or .gyp) to deliver the payload.  Also called QBot, QuackBot, or Pinkslipbot, Qakbot has been a  recurring threat  since late 2007, evolving from its initial days as a banking trojan to a modular information stealer capable of deploying next-stage payloads such as  ransomware .   ""Qakbot is a flexible post-exploi","July 12, 2022",Ravie Lakshmanan
Microsoft Releases Fix for Zero-Day Flaw in July 2022 Security Patch Rollout,https://thehackernews.com/2022/07/microsoft-releases-fix-for-zero-day.html,"Microsoft released its monthly round of Patch Tuesday updates to address  84 new security flaws  spanning multiple product categories, counting a zero-day vulnerability that's under active attack in the wild.  Of the 84 shortcomings, four are rated Critical, and 80 are rated Important in severity. Also separately resolved by the tech giant are  two other bugs  in the Chromium-based Edge browser, one of which plugs another  zero-day flaw  that Google disclosed as being actively exploited in real-world attacks.  Top of the list of this month's updates is  CVE-2022-22047  (CVSS score: 7.8), a case of privilege escalation in the Windows Client Server Runtime Subsystem ( CSRSS ) that could be abused by an attacker to gain SYSTEM permissions.  ""With this level of access, the attackers are able to disable local services such as Endpoint Detection and Security tools,"" Kev Breen, director of cyber threat research at Immersive Labs, told The Hacker News. ""With SYSTEM acce","July 12, 2022",Ravie Lakshmanan
Avoiding Death by a Thousand Scripts: Using Automated Content Security Policies,https://thehackernews.com/2022/07/avoiding-death-by-thousand-scripts.html,"Businesses know they need to secure their client-side scripts. Content security policies (CSPs) are a great way to do that. But CSPs are cumbersome. One mistake and you have a potentially significant client-side security gap. Finding those gaps means long and tedious hours (or days) in manual code reviews through thousands of lines of script on your web applications. Automated content security policies can help streamline the code review process by first identifying all first- and third-party scripts and the assets they access, and then generating an appropriate content security policy to help better secure the client-side attack surface.   There are few developers or AppSec professionals who claim to enjoy deploying CSPs. First, the CSP has to work for the specific web application. Then the team needs to make sure it provides the appropriate level of protection. The CSP also can't conflict with any existing widgets or plugins (or the decision must be made to not deploy the CSP or dea","July 12, 2022",The Hacker News
Microsoft Windows Autopatch is Now Generally Available for Enterprise Systems,https://thehackernews.com/2022/07/microsoft-windows-autopatch-is-now.html,"Microsoft on Monday announced the general availability of a feature called Autopatch  that automatically keeps Windows and Office software up-to-date on enrolled endpoints.  The launch, which comes a day before Microsoft is expected to release its monthly round of security patches, is available for customers with Windows Enterprise E3 and E5 licenses. It, however, doesn't support Windows Education (A3) or Windows Front Line Worker (F3) licenses.  ""Microsoft will continue to release updates on the second Tuesday of every month and now Autopatch helps streamline updating operations and create new opportunities for IT pros,"" Lior Bela  said .   Autopatch works by  applying security updates  first to devices in what's called the Test ring, which contains a minimum number of representative devices. After a validation period, the updates are pushed to the First (1% devices), Fast (9%), and Broad (90%) rings.   The service was first  teased  by the tech giant in April 2022","July 11, 2022",Ravie Lakshmanan
Cloud-based Cryptocurrency Miners Targeting GitHub Actions and Azure VMs,https://thehackernews.com/2022/07/cloud-based-cryptocurrency-miners.html,"GitHub Actions and Azure virtual machines (VMs) are being leveraged for cloud-based cryptocurrency mining, indicating sustained attempts on the part of malicious actors to target cloud resources for illicit purposes.  ""Attackers can abuse the  runners  or servers provided by GitHub to run an organization's pipelines and automation by maliciously downloading and installing their own cryptocurrency miners to gain profit easily,"" Trend Micro researcher Magno Logan  said  in a report last week.  GitHub Actions ( GHAs ) is a continuous integration and continuous delivery (CI/CD) platform that allows users to automate the software build, test, and deployment pipeline. Developers can leverage the feature to create workflows that build and test every pull request to a code repository, or deploy merged pull requests to production.   Both Linux and Windows runners are hosted on  Standard_DS2_v2  virtual machines on Azure and come with two vCPUs and 7GB of memory.  The Japanese com","July 11, 2022",Ravie Lakshmanan
What It Takes to Tackle Your SaaS Security,https://thehackernews.com/2022/07/what-it-takes-to-tackle-your-saas.html,"It's not a new concept that Office 365, Salesforce, Slack, Google Workspace or Zoom, etc., are amazing for enabling the hybrid workforce and hyper-productivity in businesses today. However, there are three main challenges that have arisen stemming from this evolution: (1) While SaaS apps include a host of native security settings, they need to be hardened by the security team of the organization. (2) Employees are granting 3rd party app access to core SaaS apps that pose potential threats to the company. (3) These SaaS apps are accessed by different devices without their device hygiene score even being checked.   1 — Misconfiguration Management   It's not an easy task to have every app setting properly configured — at all times. The challenge lies within how burdensome this responsibility is — each app has tens or hundreds of security settings to configure, in addition to thousands of user roles and permission in a typical enterprise, compounded by the many compliance industry","July 11, 2022",The Hacker News
Hackers Used Fake Job Offer to Hack and Steal $540 Million from Axie Infinity,https://thehackernews.com/2022/07/hackers-used-fake-job-offer-to-hack-and.html,"The $540 million hack of Axie Infinity's  Ronin Bridge  in late March 2022 was the consequence of one of its former employees getting tricked by a fraudulent job offer on LinkedIn, it has emerged.   According to a report from  The Block  published last week citing two people familiar with the matter, a senior engineer at the company was duped into applying for a job at a non-existent company, causing the individual to download a fake offer document disguised as a PDF.  ""After what one source described as multiple rounds of interviews, a Sky Mavis engineer was offered a job with an extremely generous compensation package,"" the Block reported.   The offer document subsequently acted as a conduit to deploy malware designed to breach Ronin's network, ultimately facilitating one of the crypto sector's biggest hacks to date.  ""Sky Mavis employees are under constant advanced spear-phishing attacks on various social channels and one employee was compromised,"" t","July 10, 2022",Ravie Lakshmanan
PyPI Repository Makes 2FA Security Mandatory for Critical Python Projects,https://thehackernews.com/2022/07/pypi-repository-makes-2af-security.html,"The maintainers of the official third-party software repository for Python have begun imposing a new two-factor authentication (2FA) condition for projects deemed ""critical.""  ""We've begun rolling out a 2FA requirement: soon, maintainers of critical projects must have 2FA enabled to publish, update, or modify them,"" Python Package Index (PyPI)  said  in a tweet last week.  ""Any maintainer of a critical project (both 'Maintainers' and 'Owners') are included in the 2FA requirement,"" it  added .   Additionally, the developers of critical projects who have not previously turned on 2FA on PyPi are being offered free hardware security keys from the Google Open Source Security Team.  PyPI, which is run by the Python Software Foundation, houses more than 350,000 projects, of which over  3,500 projects  are said to be tagged with a ""critical"" designation.  According to the repository maintainers, any project accounting for the top 1%","July 10, 2022",Ravie Lakshmanan
Researchers Warn of Raspberry Robin's Worm Targeting Windows Users,https://thehackernews.com/2022/07/researchers-warn-of-raspberry-robins.html,"Cybersecurity researchers are drawing attention to an ongoing wave of attacks linked to a threat cluster tracked as Raspberry Robin that's behind a Windows malware with worm-like capabilities.   Describing it as a ""persistent"" and ""spreading"" threat, Cybereason  said  it observed a number of victims in Europe.  The infections involve a worm that propagates over removable USB devices containing malicious a .LNK file and leverages compromised QNAP network-attached storage (NAS) devices for command-and-control. It was  first documented  by researchers from Red Canary in May 2022.   Also codenamed  QNAP worm  by Sekoia, the malware leverages a legitimate Windows installer binary called ""msiexec.exe"" to download and execute a malicious shared library (DLL) from a compromised QNAP NAS appliance.  ""To make it harder to detect, Raspberry Robin leverages process injections in three legitimate Windows system processes,"" Cybereason researcher Loïc Cast","July 08, 2022",Ravie Lakshmanan
Researchers Detail Techniques LockBit Ransomware Using to Infect its Targets,https://thehackernews.com/2022/07/researchers-detail-techniques-lockbit.html,"LockBit ransomware attacks are constantly evolving by making use of a wide range of techniques to infect targets while also taking steps to disable endpoint security solutions.  ""The affiliates that use LockBit's services conduct their attacks according to their preference and use different tools and techniques to achieve their goal,"" Cybereason security analysts Loïc Castel and Gal Romano  said . ""As the attack progresses further along the kill chain, the activities from different cases tend to converge to similar activities.""  LockBit, which operates on a ransomware-as-a-service (RaaS) model like most groups, was first observed in September 2019 and has since emerged as the most dominant ransomware strain this year, surpassing other well-known groups like  Conti ,  Hive , and  BlackCat .   This involves the malware authors licensing access to affiliates, who execute the attacks in exchange for using their tools and infrastructure and earn as much as 80% of ea","July 08, 2022",Ravie Lakshmanan
Microsoft Temporarily Rolls Back Plan to Block Office VBA Macros by Default,https://thehackernews.com/2022/07/microsoft-quietly-rolls-back-plan-to.html,"Five months after announcing plans to disable Visual Basic for Applications (VBA) macros by default in the Office productivity suite, Microsoft appears to have rolled back its plans.  ""Based on feedback received, a rollback has started,"" Microsoft employee Angela Robertson  said  in a July 6 comment. ""An update about the rollback is in progress. I apologize for any inconvenience of the rollback starting before the update about the change was made available.""  When reached by The Hacker News, Redmond said its decision to reverse course was temporary and that it's working to incorporate further usability improvements.  ""Following user feedback, we have rolled back this change temporarily while we make some additional changes to enhance usability,"" a Microsoft spokesperson said. ""This is a temporary change, and we are fully committed to making the default change for all users. Regardless of the default setting, customers can block internet macros th","July 08, 2022",Ravie Lakshmanan
Why Developers Hate Changing Language Versions,https://thehackernews.com/2022/07/why-developers-hate-changing-language.html,"Progress powers technology forward. But progress also has a cost: by adding new capabilities and features, the developer community is constantly adjusting the building blocks. That includes the fundamental languages used to code technology solutions.  When the building blocks change, the code behind the technology solution must change too. It's a challenging and time-consuming exercise that drains resources. But what if there's an alternative?  The problem: reading code someone else wrote  Let's take a step back and take a look at one of the fundamental challenges in development: editing someone else's code. Editing code you just wrote, or wrote a couple of weeks ago, is just fine. But editing your own code written years ago – never mind someone else's code - that's a different story.  In-house code style rules can help but there are always odd naming conventions for variables and functions, or unusual choices for algorithms. Arguably, a programmer's abilit","July 08, 2022",The Hacker News
Experts Uncover 350 Browser Extension Variants Used in ABCsoup Adware Campaign,https://thehackernews.com/2022/07/experts-uncover-350-browser-extension.html,"A malicious browser extension with 350 variants is masquerading as a Google Translate add-on as part of an adware campaign targeting Russian users of Google Chrome, Opera, and Mozilla Firefox browsers.  Mobile security firm Zimperium dubbed the malware family  ABCsoup , stating the ""extensions are installed onto a victim's machine via a Windows-based executable, bypassing most endpoint security solutions, along with the security controls found in the official extension stores.""  The rogue browser add-ons come with the same extension ID as that of Google Translate — "" aapbdbdomjkkjkaonfhkkikfgjllcleb "" — in an attempt to trick users into believing that they have installed a legitimate extension.   The extensions are not available on the official browser web stores themselves. Rather they are delivered through different Windows executables that install the add-on on the victim's web browser.  In the event the targeted user already has the Google Translate ext","July 08, 2022",Ravie Lakshmanan
"TrickBot Gang Shifted its Focus on ""Systematically"" Targeting Ukraine",https://thehackernews.com/2022/07/trickbot-malware-shifted-its-focus-on.html,"In what's being described as an ""unprecedented"" twist, the operators of the TrickBot malware have resorted to systematically targeting Ukraine since the onset of the war in late February 2022.  The group is believed to have orchestrated at least six phishing campaigns aimed at targets that align with Russian state interests, with the emails acting as lures for delivering malicious software such as IcedID, CobaltStrike, AnchorMail, and  Meterpreter .  Tracked under the names ITG23,  Gold Blackburn , and Wizard Spider, the  financially motivated cybercrime gang  is known for its development of the TrickBot banking trojan and was  subsumed  into the now-discontinued  Conti ransomware cartel  earlier this year.  But merely weeks later, the actors associated with the group resurfaced with a revamped version of the  AnchorDNS  backdoor called  AnchorMail  that uses SMTPS and IMAP protocols for command-and-control communications.   ""ITG23's campaigns against Ukraine ar","July 07, 2022",Ravie Lakshmanan
"Over 1,200 NPM Packages Found Involved in ""CuteBoi"" Cryptomining Campaign",https://thehackernews.com/2022/07/over-1200-npm-packages-found-involved.html,"Researchers have disclosed what they say could be an attempt to kick-off a new large-scale cryptocurrency mining campaign targeting the NPM JavaScript package repository.  The malicious activity, attributed to a software supply chain threat actor dubbed  CuteBoi , involves an array of 1,283 rogue modules that were published in an automated fashion from over 1,000 different user accounts.  ""This was done using automation which includes the ability to pass the NPM 2FA challenge,"" Israeli application security testing company Checkmarx  said . ""This cluster of packages seems to be a part of an attacker experimenting at this point.""   All the released packages in question are said to harbor near-identical source code from an already existing package named eazyminer that's used to mine Monero by means of utilizing unused resources on web servers.  One notable modification entails the URL to which the mined cryptocurrency should be sent, although installing the rogue","July 07, 2022",Ravie Lakshmanan
"Apple's New ""Lockdown Mode"" Protects iPhone, iPad, and Mac Against Spyware",https://thehackernews.com/2022/07/apples-new-lockdown-mode-protects.html,"Apple on Wednesday announced it plans to introduce an enhanced security setting called  Lockdown Mode  in iOS 16, iPadOS 16, and macOS Ventura to safeguard high-risk users against ""highly targeted cyberattacks.""  The ""extreme, optional protection"" feature, now available for preview in beta versions of its upcoming software, is designed to counter a surge in threats posed by private companies developing state-sponsored surveillanceware such as  Pegasus ,  DevilsTongue ,  Predator , and  Hermit .   Lockdown Mode, when enabled, ""hardens device defenses and strictly limits certain functionalities, sharply reducing the attack surface that potentially could be exploited by highly targeted mercenary spyware,"" Apple  said  in a statement.   This includes blocking most message attachment types other than images and disabling link previews in Messages; rendering inoperative just-in-time ( JIT ) JavaScript compilation; removing support for shared albums in Photos; a","July 07, 2022",Ravie Lakshmanan
The Age of Collaborative Security: What Tens of Thousands of Machines Witness,https://thehackernews.com/2022/07/the-age-of-collaborative-security-what.html,"Disclaimer: This article is meant to give insight into cyber threats as seen by the community of users of CrowdSec.  What can tens of thousands of machines tell us about illegal hacker activities?  Do you remember that scene in Batman - The Dark Knight, where Batman uses a system that aggregates active sound data from countless mobile phones to create a meta sonar feed of what is going on at any given place?   It is an interesting analogy with what we do at CrowdSec. By aggregating intrusion signals from our community, we can offer a clear picture of what is going on in terms of illegal hacking in the world.  After 2 years of activity and analyzing 1 million intrusion signals daily from tens of thousands of users in 160 countries, we start having an accurate ""Batman sonar"" global feed of cyber threats. And there are some interesting takeaways to outline.  A cyber threat with many faces   First of all, the global cyber threat is highly versatile. What do we see when looking at the type","July 07, 2022",The Hacker News
Researchers Warn of New OrBit Linux Malware That Hijacks Execution Flow,https://thehackernews.com/2022/07/researchers-warn-of-new-orbit-linux.html,"Cybersecurity researchers have taken the wraps off a new and entirely undetected Linux threat dubbed  OrBit , signally a growing trend of malware attacks geared towards the popular operating system.  The malware gets its name from one of the filenames that's utilized to temporarily store the output of executed commands (""/tmp/.orbit""), according to cybersecurity firm Intezer.  ""It can be installed either with persistence capabilities or as a volatile implant,"" security researcher Nicole Fishbein  said . ""The malware implements advanced evasion techniques and gains persistence on the machine by hooking key functions, provides the threat actors with remote access capabilities over SSH, harvests credentials, and logs TTY commands.""  OrBit is the fourth Linux malware to have come to light in a short span of three months after  BPFDoor ,  Symbiote , and  Syslogk .   The malware also functions a lot like Symbiote in that it's designed to infect all of t","July 06, 2022",Ravie Lakshmanan
